month_year,Year,Month,education_attainment,unemployment_level,unemployment_rate
2021-01,2021,January,Less than High School Diploma,831.0,9.0
2022-01,2022,January,Less than High School Diploma,551.0,6.3
2023-01,2023,January,Less than High School Diploma,397.0,4.5
1993-02,1993,February,Less than High School Diploma,1428.0,11.1
1994-02,1994,February,Less than High School Diploma,1276.0,10.4
1995-02,1995,February,Less than High School Diploma,1079.0,8.9
1996-02,1996,February,Less than High School Diploma,1096.0,8.9
1997-02,1997,February,Less than High School Diploma,1109.0,8.8
1998-02,1998,February,Less than High School Diploma,894.0,7.1
1999-02,1999,February,Less than High School Diploma,914.0,7.5
2000-02,2000,February,Less than High School Diploma,748.0,6.0
2001-02,2001,February,Less than High School Diploma,944.0,7.5
2002-02,2002,February,Less than High School Diploma,1057.0,8.3
2003-02,2003,February,Less than High School Diploma,1122.0,8.9
2004-02,2004,February,Less than High School Diploma,1078.0,8.6
2005-02,2005,February,Less than High School Diploma,984.0,7.8
2006-02,2006,February,Less than High School Diploma,906.0,7.1
2007-02,2007,February,Less than High School Diploma,958.0,7.3
2008-02,2008,February,Less than High School Diploma,900.0,7.4
2009-02,2009,February,Less than High School Diploma,1607.0,13.2
2010-02,2010,February,Less than High School Diploma,1837.0,15.8
2011-02,2011,February,Less than High School Diploma,1583.0,14.0
2012-02,2012,February,Less than High School Diploma,1494.0,13.1
2013-02,2013,February,Less than High School Diploma,1254.0,11.3
2014-02,2014,February,Less than High School Diploma,1092.0,9.8
2015-02,2015,February,Less than High School Diploma,919.0,8.2
2016-02,2016,February,Less than High School Diploma,746.0,7.0
2017-02,2017,February,Less than High School Diploma,772.0,7.5
2018-02,2018,February,Less than High School Diploma,585.0,5.7
2019-02,2019,February,Less than High School Diploma,550.0,5.4
2020-02,2020,February,Less than High School Diploma,563.0,5.8
2021-02,2021,February,Less than High School Diploma,914.0,10.2
2022-02,2022,February,Less than High School Diploma,402.0,4.5
2023-02,2023,February,Less than High School Diploma,536.0,5.8
1993-03,1993,March,Less than High School Diploma,1387.0,10.9
1994-03,1994,March,Less than High School Diploma,1280.0,10.5
1995-03,1995,March,Less than High School Diploma,953.0,8.0
1996-03,1996,March,Less than High School Diploma,1142.0,9.2
1997-03,1997,March,Less than High School Diploma,1059.0,8.3
1998-03,1998,March,Less than High School Diploma,890.0,7.1
1999-03,1999,March,Less than High School Diploma,735.0,6.1
2000-03,2000,March,Less than High School Diploma,803.0,6.6
2001-03,2001,March,Less than High School Diploma,854.0,6.8
2002-03,2002,March,Less than High School Diploma,1032.0,8.1
2003-03,2003,March,Less than High School Diploma,1111.0,8.6
2004-03,2004,March,Less than High School Diploma,1099.0,8.8
2005-03,2005,March,Less than High School Diploma,978.0,7.8
2006-03,2006,March,Less than High School Diploma,879.0,6.9
2007-03,2007,March,Less than High School Diploma,906.0,6.9
2008-03,2008,March,Less than High School Diploma,1025.0,8.4
2009-03,2009,March,Less than High School Diploma,1714.0,14.0
2010-03,2010,March,Less than High School Diploma,1764.0,14.9
2011-03,2011,March,Less than High School Diploma,1633.0,14.1
2012-03,2012,March,Less than High School Diploma,1453.0,12.8
2013-03,2013,March,Less than High School Diploma,1240.0,11.1
2014-03,2014,March,Less than High School Diploma,1047.0,9.4
2015-03,2015,March,Less than High School Diploma,952.0,8.6
2016-03,2016,March,Less than High School Diploma,795.0,7.3
2017-03,2017,March,Less than High School Diploma,665.0,6.5
2018-03,2018,March,Less than High School Diploma,564.0,5.5
2019-03,2019,March,Less than High School Diploma,594.0,5.9
2020-03,2020,March,Less than High School Diploma,651.0,7.0
2021-03,2021,March,Less than High School Diploma,745.0,8.4
2022-03,2022,March,Less than High School Diploma,482.0,5.3
2023-03,2023,March,Less than High School Diploma,441.0,4.8
1993-04,1993,April,Less than High School Diploma,1377.0,10.9
1994-04,1994,April,Less than High School Diploma,1233.0,10.1
1995-04,1995,April,Less than High School Diploma,1072.0,8.8
1996-04,1996,April,Less than High School Diploma,1136.0,9.1
1997-04,1997,April,Less than High School Diploma,1051.0,8.4
1998-04,1998,April,Less than High School Diploma,920.0,7.2
1999-04,1999,April,Less than High School Diploma,815.0,6.9
2000-04,2000,April,Less than High School Diploma,760.0,6.2
2001-04,2001,April,Less than High School Diploma,861.0,6.8
2002-04,2002,April,Less than High School Diploma,1179.0,9.1
2003-04,2003,April,Less than High School Diploma,1091.0,8.5
2004-04,2004,April,Less than High School Diploma,1035.0,8.6
2005-04,2005,April,Less than High School Diploma,1031.0,8.2
2006-04,2006,April,Less than High School Diploma,883.0,6.9
2007-04,2007,April,Less than High School Diploma,896.0,7.1
2008-04,2008,April,Less than High School Diploma,934.0,7.7
2009-04,2009,April,Less than High School Diploma,1788.0,14.9
2010-04,2010,April,Less than High School Diploma,1776.0,14.7
2011-04,2011,April,Less than High School Diploma,1698.0,14.7
2012-04,2012,April,Less than High School Diploma,1409.0,12.5
2013-04,2013,April,Less than High School Diploma,1259.0,11.6
2014-04,2014,April,Less than High School Diploma,934.0,8.7
2015-04,2015,April,Less than High School Diploma,956.0,8.4
2016-04,2016,April,Less than High School Diploma,828.0,7.6
2017-04,2017,April,Less than High School Diploma,663.0,6.5
2018-04,2018,April,Less than High School Diploma,607.0,5.9
2019-04,2019,April,Less than High School Diploma,530.0,5.3
2020-04,2020,April,Less than High School Diploma,1819.0,21.2
2021-04,2021,April,Less than High School Diploma,837.0,9.4
2022-04,2022,April,Less than High School Diploma,494.0,5.4
2023-04,2023,April,Less than High School Diploma,487.0,5.4
1993-05,1993,May,Less than High School Diploma,1357.0,10.8
1994-05,1994,May,Less than High School Diploma,1136.0,9.3
1995-05,1995,May,Less than High School Diploma,1050.0,8.7
1996-05,1996,May,Less than High School Diploma,1214.0,9.7
1997-05,1997,May,Less than High School Diploma,1072.0,8.5
1998-05,1998,May,Less than High School Diploma,888.0,7.0
1999-05,1999,May,Less than High School Diploma,803.0,6.8
2000-05,2000,May,Less than High School Diploma,845.0,6.9
2001-05,2001,May,Less than High School Diploma,828.0,6.6
2002-05,2002,May,Less than High School Diploma,1064.0,8.3
2003-05,2003,May,Less than High School Diploma,1145.0,9.0
2004-05,2004,May,Less than High School Diploma,1073.0,8.8
2005-05,2005,May,Less than High School Diploma,993.0,7.8
2006-05,2006,May,Less than High School Diploma,898.0,7.0
2007-05,2007,May,Less than High School Diploma,818.0,6.6
2008-05,2008,May,Less than High School Diploma,987.0,8.1
2009-05,2009,May,Less than High School Diploma,1852.0,15.2
2010-05,2010,May,Less than High School Diploma,1770.0,14.6
2011-05,2011,May,Less than High School Diploma,1656.0,14.5
2012-05,2012,May,Less than High School Diploma,1470.0,12.9
2013-05,2013,May,Less than High School Diploma,1226.0,11.0
2014-05,2014,May,Less than High School Diploma,991.0,9.2
2015-05,2015,May,Less than High School Diploma,970.0,8.7
2016-05,2016,May,Less than High School Diploma,779.0,7.4
2017-05,2017,May,Less than High School Diploma,638.0,6.1
2018-05,2018,May,Less than High School Diploma,539.0,5.2
2019-05,2019,May,Less than High School Diploma,504.0,5.1
2020-05,2020,May,Less than High School Diploma,1614.0,19.6
2021-05,2021,May,Less than High School Diploma,780.0,9.0
2022-05,2022,May,Less than High School Diploma,475.0,5.2
2023-05,2023,May,Less than High School Diploma,519.0,5.7
1993-06,1993,June,Less than High School Diploma,1402.0,11.2
1994-06,1994,June,Less than High School Diploma,1183.0,9.7
1995-06,1995,June,Less than High School Diploma,1038.0,8.7
1996-06,1996,June,Less than High School Diploma,1068.0,8.6
1997-06,1997,June,Less than High School Diploma,1029.0,8.2
1998-06,1998,June,Less than High School Diploma,923.0,7.2
1999-06,1999,June,Less than High School Diploma,826.0,6.8
2000-06,2000,June,Less than High School Diploma,785.0,6.3
2001-06,2001,June,Less than High School Diploma,870.0,6.9
2002-06,2002,June,Less than High School Diploma,992.0,7.8
2003-06,2003,June,Less than High School Diploma,1169.0,9.4
2004-06,2004,June,Less than High School Diploma,1072.0,8.7
2005-06,2005,June,Less than High School Diploma,885.0,6.9
2006-06,2006,June,Less than High School Diploma,905.0,7.1
2007-06,2007,June,Less than High School Diploma,800.0,6.7
2008-06,2008,June,Less than High School Diploma,1060.0,8.7
2009-06,2009,June,Less than High School Diploma,1918.0,15.6
2010-06,2010,June,Less than High School Diploma,1714.0,14.2
2011-06,2011,June,Less than High School Diploma,1644.0,14.4
2012-06,2012,June,Less than High School Diploma,1443.0,12.6
2013-06,2013,June,Less than High School Diploma,1203.0,10.7
2014-06,2014,June,Less than High School Diploma,972.0,9.2
2015-06,2015,June,Less than High School Diploma,907.0,8.2
2016-06,2016,June,Less than High School Diploma,805.0,7.6
2017-06,2017,June,Less than High School Diploma,671.0,6.5
2018-06,2018,June,Less than High School Diploma,576.0,5.5
2019-06,2019,June,Less than High School Diploma,524.0,5.2
2020-06,2020,June,Less than High School Diploma,1373.0,16.5
2021-06,2021,June,Less than High School Diploma,934.0,10.3
2022-06,2022,June,Less than High School Diploma,524.0,5.7
2023-06,2023,June,Less than High School Diploma,552.0,6.0
1993-07,1993,July,Less than High School Diploma,1329.0,10.4
1994-07,1994,July,Less than High School Diploma,1198.0,9.8
1995-07,1995,July,Less than High School Diploma,1066.0,9.0
1996-07,1996,July,Less than High School Diploma,1090.0,8.8
1997-07,1997,July,Less than High School Diploma,972.0,7.7
1998-07,1998,July,Less than High School Diploma,906.0,7.2
1999-07,1999,July,Less than High School Diploma,829.0,6.9
2000-07,2000,July,Less than High School Diploma,816.0,6.4
2001-07,2001,July,Less than High School Diploma,865.0,6.8
2002-07,2002,July,Less than High School Diploma,1075.0,8.6
2003-07,2003,July,Less than High School Diploma,1102.0,8.8
2004-07,2004,July,Less than High School Diploma,1017.0,8.2
2005-07,2005,July,Less than High School Diploma,986.0,7.5
2006-07,2006,July,Less than High School Diploma,904.0,7.1
2007-07,2007,July,Less than High School Diploma,878.0,7.3
2008-07,2008,July,Less than High School Diploma,1042.0,8.6
2009-07,2009,July,Less than High School Diploma,1884.0,15.3
2010-07,2010,July,Less than High School Diploma,1608.0,13.5
2011-07,2011,July,Less than High School Diploma,1693.0,14.5
2012-07,2012,July,Less than High School Diploma,1425.0,12.4
2013-07,2013,July,Less than High School Diploma,1181.0,10.8
2014-07,2014,July,Less than High School Diploma,976.0,9.5
2015-07,2015,July,Less than High School Diploma,900.0,8.3
2016-07,2016,July,Less than High School Diploma,687.0,6.5
2017-07,2017,July,Less than High School Diploma,752.0,7.1
2018-07,2018,July,Less than High School Diploma,508.0,5.0
2019-07,2019,July,Less than High School Diploma,487.0,4.9
2020-07,2020,July,Less than High School Diploma,1238.0,15.0
2021-07,2021,July,Less than High School Diploma,859.0,9.3
2022-07,2022,July,Less than High School Diploma,518.0,5.8
2023-07,2023,July,Less than High School Diploma,467.0,5.2
1993-08,1993,Augest,Less than High School Diploma,1323.0,10.5
1994-08,1994,Augest,Less than High School Diploma,1196.0,9.8
1995-08,1995,Augest,Less than High School Diploma,1114.0,9.5
1996-08,1996,Augest,Less than High School Diploma,1052.0,8.5
1997-08,1997,Augest,Less than High School Diploma,953.0,7.6
1998-08,1998,Augest,Less than High School Diploma,881.0,7.1
1999-08,1999,Augest,Less than High School Diploma,870.0,7.1
2000-08,2000,Augest,Less than High School Diploma,794.0,6.2
2001-08,2001,Augest,Less than High School Diploma,906.0,7.2
2002-08,2002,Augest,Less than High School Diploma,1035.0,8.4
2003-08,2003,Augest,Less than High School Diploma,1172.0,9.3
2004-08,2004,Augest,Less than High School Diploma,1013.0,8.1
2005-08,2005,Augest,Less than High School Diploma,967.0,7.5
2006-08,2006,Augest,Less than High School Diploma,870.0,6.8
2007-08,2007,Augest,Less than High School Diploma,785.0,6.5
2008-08,2008,Augest,Less than High School Diploma,1172.0,9.7
2009-08,2009,Augest,Less than High School Diploma,1922.0,15.6
2010-08,2010,Augest,Less than High School Diploma,1665.0,14.1
2011-08,2011,Augest,Less than High School Diploma,1657.0,14.1
2012-08,2012,Augest,Less than High School Diploma,1328.0,11.8
2013-08,2013,Augest,Less than High School Diploma,1228.0,11.1
2014-08,2014,Augest,Less than High School Diploma,986.0,9.2
2015-08,2015,Augest,Less than High School Diploma,839.0,7.9
2016-08,2016,Augest,Less than High School Diploma,791.0,7.4
2017-08,2017,Augest,Less than High School Diploma,646.0,6.1
2018-08,2018,Augest,Less than High School Diploma,581.0,5.6
2019-08,2019,Augest,Less than High School Diploma,541.0,5.4
2020-08,2020,Augest,Less than High School Diploma,1071.0,12.5
2021-08,2021,Augest,Less than High School Diploma,708.0,7.7
2022-08,2022,Augest,Less than High School Diploma,530.0,6.1
2023-08,2023,Augest,Less than High School Diploma,496.0,5.4
1993-09,1993,September,Less than High School Diploma,1326.0,10.7
1994-09,1994,September,Less than High School Diploma,1179.0,9.6
1995-09,1995,September,Less than High School Diploma,1101.0,9.1
1996-09,1996,September,Less than High School Diploma,1010.0,8.2
1997-09,1997,September,Less than High School Diploma,1004.0,8.0
1998-09,1998,September,Less than High School Diploma,867.0,6.9
1999-09,1999,September,Less than High School Diploma,836.0,6.9
2000-09,2000,September,Less than High School Diploma,790.0,6.2
2001-09,2001,September,Less than High School Diploma,964.0,7.7
2002-09,2002,September,Less than High School Diploma,965.0,7.8
2003-09,2003,September,Less than High School Diploma,1073.0,8.6
2004-09,2004,September,Less than High School Diploma,1103.0,8.7
2005-09,2005,September,Less than High School Diploma,1046.0,8.2
2006-09,2006,September,Less than High School Diploma,815.0,6.4
2007-09,2007,September,Less than High School Diploma,918.0,7.6
2008-09,2008,September,Less than High School Diploma,1178.0,9.8
2009-09,2009,September,Less than High School Diploma,1814.0,14.9
2010-09,2010,September,Less than High School Diploma,1843.0,15.6
2011-09,2011,September,Less than High School Diploma,1690.0,14.3
2012-09,2012,September,Less than High School Diploma,1322.0,11.7
2013-09,2013,September,Less than High School Diploma,1153.0,10.5
2014-09,2014,September,Less than High School Diploma,911.0,8.5
2015-09,2015,September,Less than High School Diploma,839.0,7.9
2016-09,2016,September,Less than High School Diploma,932.0,8.7
2017-09,2017,September,Less than High School Diploma,706.0,6.7
2018-09,2018,September,Less than High School Diploma,579.0,5.7
2019-09,2019,September,Less than High School Diploma,481.0,4.9
2020-09,2020,September,Less than High School Diploma,934.0,10.6
2021-09,2021,September,Less than High School Diploma,699.0,7.6
2022-09,2022,September,Less than High School Diploma,499.0,5.5
1993-10,1993,October,Less than High School Diploma,1332.0,10.7
1994-10,1994,October,Less than High School Diploma,1201.0,9.7
1995-10,1995,October,Less than High School Diploma,1103.0,9.1
1996-10,1996,October,Less than High School Diploma,963.0,7.8
1997-10,1997,October,Less than High School Diploma,969.0,7.8
1998-10,1998,October,Less than High School Diploma,850.0,6.9
1999-10,1999,October,Less than High School Diploma,809.0,6.6
2000-10,2000,October,Less than High School Diploma,820.0,6.4
2001-10,2001,October,Less than High School Diploma,966.0,7.6
2002-10,2002,October,Less than High School Diploma,1080.0,8.7
2003-10,2003,October,Less than High School Diploma,1144.0,9.0
2004-10,2004,October,Less than High School Diploma,1057.0,8.4
2005-10,2005,October,Less than High School Diploma,917.0,7.3
2006-10,2006,October,Less than High School Diploma,741.0,5.8
2007-10,2007,October,Less than High School Diploma,882.0,7.3
2008-10,2008,October,Less than High School Diploma,1269.0,10.3
2009-10,2009,October,Less than High School Diploma,1833.0,15.2
2010-10,2010,October,Less than High School Diploma,1762.0,15.0
2011-10,2011,October,Less than High School Diploma,1587.0,13.5
2012-10,2012,October,Less than High School Diploma,1371.0,12.1
2013-10,2013,October,Less than High School Diploma,1180.0,10.9
2014-10,2014,October,Less than High School Diploma,881.0,8.1
2015-10,2015,October,Less than High School Diploma,811.0,7.6
2016-10,2016,October,Less than High School Diploma,794.0,7.5
2017-10,2017,October,Less than High School Diploma,620.0,6.0
2018-10,2018,October,Less than High School Diploma,603.0,5.9
2019-10,2019,October,Less than High School Diploma,543.0,5.6
2020-10,2020,October,Less than High School Diploma,899.0,9.8
2021-10,2021,October,Less than High School Diploma,643.0,7.1
2022-10,2022,October,Less than High School Diploma,567.0,6.2
1993-11,1993,November,Less than High School Diploma,1285.0,10.5
1994-11,1994,November,Less than High School Diploma,1142.0,9.2
1995-11,1995,November,Less than High School Diploma,1131.0,9.3
1996-11,1996,November,Less than High School Diploma,1044.0,8.4
1997-11,1997,November,Less than High School Diploma,919.0,7.4
1998-11,1998,November,Less than High School Diploma,885.0,7.1
1999-11,1999,November,Less than High School Diploma,786.0,6.4
2000-11,2000,November,Less than High School Diploma,818.0,6.5
2001-11,2001,November,Less than High School Diploma,998.0,8.0
2002-11,2002,November,Less than High School Diploma,1122.0,9.0
2003-11,2003,November,Less than High School Diploma,1102.0,8.7
2004-11,2004,November,Less than High School Diploma,1021.0,8.0
2005-11,2005,November,Less than High School Diploma,935.0,7.4
2006-11,2006,November,Less than High School Diploma,836.0,6.6
2007-11,2007,November,Less than High School Diploma,944.0,7.7
2008-11,2008,November,Less than High School Diploma,1309.0,10.8
2009-11,2009,November,Less than High School Diploma,1762.0,14.7
2010-11,2010,November,Less than High School Diploma,1814.0,15.4
2011-11,2011,November,Less than High School Diploma,1497.0,12.8
2012-11,2012,November,Less than High School Diploma,1321.0,12.0
2013-11,2013,November,Less than High School Diploma,1158.0,10.7
2014-11,2014,November,Less than High School Diploma,957.0,8.6
2015-11,2015,November,Less than High School Diploma,742.0,6.8
2016-11,2016,November,Less than High School Diploma,829.0,7.9
2017-11,2017,November,Less than High School Diploma,549.0,5.4
2018-11,2018,November,Less than High School Diploma,597.0,5.9
2019-11,2019,November,Less than High School Diploma,545.0,5.6
2020-11,2020,November,Less than High School Diploma,883.0,9.4
2021-11,2021,November,Less than High School Diploma,506.0,5.7
2022-11,2022,November,Less than High School Diploma,395.0,4.4
1993-12,1993,December,Less than High School Diploma,1341.0,11.0
1994-12,1994,December,Less than High School Diploma,1041.0,8.5
1995-12,1995,December,Less than High School Diploma,1114.0,9.2
1996-12,1996,December,Less than High School Diploma,1041.0,8.3
1997-12,1997,December,Less than High School Diploma,942.0,7.5
1998-12,1998,December,Less than High School Diploma,863.0,6.9
1999-12,1999,December,Less than High School Diploma,695.0,5.8
2000-12,2000,December,Less than High School Diploma,728.0,5.9
2001-12,2001,December,Less than High School Diploma,1049.0,8.3
2002-12,2002,December,Less than High School Diploma,1116.0,8.9
2003-12,2003,December,Less than High School Diploma,991.0,7.9
2004-12,2004,December,Less than High School Diploma,1035.0,8.1
2005-12,2005,December,Less than High School Diploma,919.0,7.4
2006-12,2006,December,Less than High School Diploma,856.0,6.7
2007-12,2007,December,Less than High School Diploma,946.0,7.7
2008-12,2008,December,Less than High School Diploma,1342.0,11.1
2009-12,2009,December,Less than High School Diploma,1792.0,15.0
2010-12,2010,December,Less than High School Diploma,1752.0,15.0
2011-12,2011,December,Less than High School Diploma,1599.0,13.7
2012-12,2012,December,Less than High School Diploma,1312.0,11.8
2013-12,2013,December,Less than High School Diploma,1058.0,9.8
2014-12,2014,December,Less than High School Diploma,955.0,8.6
2015-12,2015,December,Less than High School Diploma,695.0,6.4
2016-12,2016,December,Less than High School Diploma,781.0,7.5
2017-12,2017,December,Less than High School Diploma,632.0,6.3
2018-12,2018,December,Less than High School Diploma,607.0,5.9
2019-12,2019,December,Less than High School Diploma,537.0,5.4
2020-12,2020,December,Less than High School Diploma,908.0,9.9
2021-12,2021,December,Less than High School Diploma,467.0,5.3
2022-12,2022,December,Less than High School Diploma,442.0,5.0
1993-01,1993,January,Other College or Associate Degree,1543.0,5.6
1994-01,1994,January,Other College or Associate Degree,1424.0,4.8
1995-01,1995,January,Other College or Associate Degree,1211.0,4.0
1996-01,1996,January,Other College or Associate Degree,1211.0,3.9
1997-01,1997,January,Other College or Associate Degree,1099.0,3.5
1998-01,1998,January,Other College or Associate Degree,1009.0,3.2
1999-01,1999,January,Other College or Associate Degree,941.0,2.9
2000-01,2000,January,Other College or Associate Degree,862.0,2.6
2001-01,2001,January,Other College or Associate Degree,991.0,3.0
2002-01,2002,January,Other College or Associate Degree,1433.0,4.3
2003-01,2003,January,Other College or Associate Degree,1628.0,4.7
2004-01,2004,January,Other College or Associate Degree,1524.0,4.5
2005-01,2005,January,Other College or Associate Degree,1413.0,4.1
2006-01,2006,January,Other College or Associate Degree,1267.0,3.6
2007-01,2007,January,Other College or Associate Degree,1334.0,3.8
2008-01,2008,January,Other College or Associate Degree,1358.0,3.7
2009-01,2009,January,Other College or Associate Degree,2383.0,6.5
2010-01,2010,January,Other College or Associate Degree,3153.0,8.6
2011-01,2011,January,Other College or Associate Degree,2968.0,8.1
2012-01,2012,January,Other College or Associate Degree,2660.0,7.1
2013-01,2013,January,Other College or Associate Degree,2575.0,6.9
2014-01,2014,January,Other College or Associate Degree,2156.0,5.9
2015-01,2015,January,Other College or Associate Degree,1945.0,5.2
2016-01,2016,January,Other College or Associate Degree,1629.0,4.3
